m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Вера,Шевченко,vera.shevchenko@student.org,1965,7,14,UDA-50,63.56,38(096)25-62-240
Вера,Іваненко,vera.ivanenko@student.org,2010,11,19,YFX-15,75.08,38(068)36-81-827
Роман,Король,roman.korol@student.org,1988,7,5,ETZ-41,86.52,38(073)57-90-803
Анна,Литвин,anna.lytvyn@student.org,1994,11,16,IAZ-42,75.25,38(066)43-21-944
Лариса,Стельмах,larysa.stelmakh@student.org,1958,3,17,ZXE-12,47.1,38(068)55-50-930
Іван,Василенко,ivan.vasylenko@student.org,1995,3,30,JBK-13,70.05,38(095)87-27-223
Іван,Мельник,ivan.melnyk@student.org,2006,4,19,SIH-56,8.52,38(050)68-13-538
Валентина,Цимбал,valentyna.tsymbal@student.org,2004,11,13,ITD-13,74.91,38(067)80-41-226
Андрій,Панченко,andriy.panchenko@student.org,1957,8,2,SHY-12,98.76,38(066)89-25-355
Галина,Ковальчук,halyna.kovalchuk@student.org,1966,9,22,IRD-30,40.81,38(095)19-14-497
Андрій,Коваль,andriy.koval@student.org,1966,11,11,FKP-80,66.84,38(068)95-36-644
Інна,Кузьменко,inna.kuzmenko@student.org,1987,3,26,QXQ-62,13.34,38(098)81-85-275
Михайло,Коваль,mykhaylo.koval@student.org,1957,2,15,TTW-81,40.22,38(063)89-66-748
Станіслав,Зайцев,stanislav.zaytsev@student.org,1980,2,2,VCH-57,74.8,38(095)10-48-687
Максим,Лисенко,maksym.lysenko@student.org,1984,4,20,YYU-56,96.6,38(093)26-60-958
Світлана,Гриценко,svitlana.hrytsenko@student.org,1962,3,7,RFI-24,44.5,38(097)32-61-398
Ярослав,Левченко,yaroslav.levchenko@student.org,1971,5,9,XWJ-48,41.74,38(097)25-46-287
Надія,Гладко,nadiya.hladko@student.org,1986,6,6,KFS-31,56.11,38(073)71-88-122
Галина,Павленко,halyna.pavlenko@student.org,1965,10,31,KQI-14,36.6,38(066)32-43-795
Василь,Кравченко,vasyl.kravchenko@student.org,1975,9,15,IDL-49,16.62,38(096)16-35-468
Юрій,Савченко,yuriy.savchenko@student.org,1963,1,2,YDG-56,23.06,38(066)64-44-954
Світлана,Литвин,svitlana.lytvyn@student.org,1971,12,18,QIP-62,95.64,38(067)70-71-455
Богдан,Лисенко,bohdan.lysenko@student.org,2002,3,4,OMS-69,21.9,38(096)44-44-751
Богдан,Марченко,bohdan.marchenko@student.org,1950,9,7,HXP-30,30.8,38(063)25-92-103
Артем,Новік,artem.novik@student.org,2000,6,15,JDK-31,14.49,38(099)39-50-305
Ірина,Василенко,iryna.vasylenko@student.org,1984,9,24,IQP-64,61.67,38(093)77-23-458
Ірина,Омельченко,iryna.omelchenko@student.org,1983,5,18,GCU-67,44.23,38(073)76-97-876
Наталія,Левченко,nataliya.levchenko@student.org,1959,7,30,RQA-27,64.29,38(068)12-78-304
Олександр,Лебедь,oleksandr.lebed@student.org,1967,3,14,ZAI-54,11.71,38(066)44-24-117
Любов,Поліщук,lyubov.polishchuk@student.org,1982,2,11,BBC-63,31.21,38(093)55-47-181
Анна,Гриценко,anna.hrytsenko@student.org,1991,6,10,SMK-44,30.81,38(098)77-29-871
Роман,Дорошенко,roman.doroshenko@student.org,1969,2,6,MAD-27,79.81,38(073)50-20-683
Сергій,Зайцев,serhiy.zaytsev@student.org,1952,11,4,CGY-87,15.57,38(093)99-80-239
Тарас,Бойко,taras.boyko@student.org,1976,2,19,BSQ-40,83.33,38(050)71-37-402
Людмила,Савченко,lyudmyla.savchenko@student.org,1959,7,11,FKA-97,93.35,38(093)51-37-903
Оксана,Кравченко,oksana.kravchenko@student.org,1986,7,22,EUU-86,71.7,38(073)15-42-636
Олена,Панченко,olena.panchenko@student.org,1974,11,18,FKK-11,43.48,38(097)14-79-891
Анна,Руденко,anna.rudenko@student.org,1978,3,6,SSC-58,7.78,38(098)28-92-503
Денис,Поліщук,denys.polishchuk@student.org,1995,2,15,IFY-76,53.59,38(095)49-33-224
Остап,Макаренко,ostap.makarenko@student.org,1955,10,16,QLZ-84,16.78,38(093)55-65-528
Катерина,Лебедь,kateryna.lebed@student.org,1998,10,9,PBP-16,85.93,38(096)58-28-471
Любов,Дорошенко,lyubov.doroshenko@student.org,1977,7,6,ICV-97,45.21,38(098)76-49-563
Віктор,Гладко,viktor.hladko@student.org,1961,3,21,BGB-34,87.91,38(098)40-15-969
Євгенія,Білоус,yevheniya.bilous@student.org,1974,9,29,JCV-77,22.93,38(097)36-87-873
Федір,Демченко,fedir.demchenko@student.org,2002,10,1,WGM-82,19.74,38(096)92-43-536
Остап,Ткаченко,ostap.tkachenko@student.org,1992,7,15,MKC-39,83.51,38(067)51-33-759
Любов,Лебедь,lyubov.lebed@student.org,1970,11,15,ASK-84,50.72,38(096)95-13-299
Оксана,Лисенко,oksana.lysenko@student.org,1991,10,9,LUE-73,62.11,38(093)36-52-143
Валентина,Костенко,valentyna.kostenko@student.org,1963,9,12,SQB-29,75.31,38(093)72-54-137
Інна,Гайдук,inna.hayduk1@student.org,1980,7,1,GGX-20,81.11,38(099)83-19-145
Андрій,Захарченко,andriy.zakharchenko@student.org,2010,7,30,FHJ-12,41.11,38(068)33-22-674
Костянтин,Козлов,kostyantyn.kozlov@student.org,2008,8,24,ZSJ-70,72.53,38(066)36-14-527
Роман,Лисенко,roman.lysenko@student.org,1996,11,16,QPT-83,41.04,38(099)93-54-806
Михайло,Дорошенко,mykhaylo.doroshenko@student.org,1951,7,2,SQY-98,57.34,38(099)31-34-487
Іван,Савченко,ivan.savchenko@student.org,1950,11,9,EAJ-77,23.39,38(099)71-78-851
Вера,Шевченко,vera.shevchenko1@student.org,1985,9,14,AQW-53,16.32,38(099)59-92-319
Світлана,Панченко,svitlana.panchenko@student.org,1965,4,5,FBM-40,46.0,38(063)59-29-893
Станіслав,Шевченко,stanislav.shevchenko@student.org,1953,6,14,GLI-36,67.8,38(066)36-97-920
Станіслав,Поліщук,stanislav.polishchuk@student.org,1996,8,20,IXU-95,90.85,38(067)13-50-558
Вера,Гончаренко,vera.honcharenko@student.org,1950,1,18,XUB-80,95.1,38(097)81-92-341
Володимир,Лебедь,volodymyr.lebed@student.org,1984,3,19,GNP-66,96.43,38(068)55-13-302
Сергій,Король,serhiy.korol@student.org,1988,4,6,VOW-77,56.53,38(068)59-54-724
Людмила,Скрипка,lyudmyla.skrypka@student.org,1995,4,22,DCS-11,32.2,38(095)11-18-440
Олена,Костенко,olena.kostenko@student.org,2006,11,16,ZZL-26,33.01,38(066)97-10-148
Богдан,Левченко,bohdan.levchenko@student.org,1959,11,9,VRS-53,30.77,38(073)26-43-439
Денис,Кузьменко,denys.kuzmenko@student.org,1985,6,6,RTU-72,60.13,38(098)50-55-159
Богдан,Зайцев,bohdan.zaytsev@student.org,1994,11,1,WOJ-61,39.57,38(066)43-51-932
Станіслав,Цимбал,stanislav.tsymbal@student.org,1983,6,24,CFS-77,61.07,38(073)85-81-784
Григорій,Козлов,hryhoriy.kozlov@student.org,1960,12,13,UPF-31,78.81,38(097)70-33-199
Вікторія,Цимбал,viktoriya.tsymbal@student.org,1969,1,27,ITI-56,33.43,38(096)61-92-975
Володимир,Кравченко,volodymyr.kravchenko@student.org,1950,12,20,JMT-40,48.52,38(073)36-84-164
Тарас,Рибак,taras.rybak@student.org,1988,4,12,QJZ-38,19.02,38(095)92-77-169
Ярослав,Руденко,yaroslav.rudenko@student.org,1979,2,4,CXY-75,93.93,38(093)14-70-242
Раїса,Романенко,rayisa.romanenko@student.org,1991,11,16,KFV-94,98.33,38(068)29-55-959
Денис,Зайцев,denys.zaytsev@student.org,2007,12,2,UNH-31,12.43,38(050)48-68-828
Григорій,Романенко,hryhoriy.romanenko@student.org,1974,2,17,IFO-79,69.91,38(096)85-46-571
Вікторія,Лисенко,viktoriya.lysenko@student.org,1982,5,21,TCE-54,97.68,38(095)29-50-144
Надія,Гордієнко,nadiya.hordiyenko@student.org,1997,7,23,ACB-43,86.29,38(067)80-31-224
Ірина,Павленко,iryna.pavlenko@student.org,1975,8,13,KGO-40,55.22,38(068)68-35-479
Євгенія,Лисенко,yevheniya.lysenko@student.org,1954,3,21,SJF-89,94.88,38(099)88-58-466
Богдан,Гайдук,bohdan.hayduk@student.org,1994,8,19,SJT-73,97.84,38(098)28-49-600
Анна,Білоус,anna.bilous@student.org,1965,5,17,WGP-30,64.6,38(067)22-36-760
Віктор,Коваль,viktor.koval@student.org,1982,8,19,BGD-91,89.81,38(097)86-94-397
Роман,Білоус,roman.bilous@student.org,1979,12,26,XCO-19,43.63,38(099)37-30-233
Роман,Рибак,roman.rybak@student.org,2005,8,21,DLN-14,3.86,38(097)41-68-780
Олена,Дорошенко,olena.doroshenko@student.org,1955,7,15,XOD-78,17.47,38(066)76-96-656
Олена,Шевченко,olena.shevchenko@student.org,2010,3,16,OMJ-29,31.54,38(068)71-35-258
Ярослав,Гайдук,yaroslav.hayduk@student.org,1974,11,29,EHL-32,15.66,38(095)23-82-679
Ігор,Бойко,ihor.boyko@student.org,1986,9,12,OVL-88,77.34,38(050)17-40-490
Петро,Левченко,petro.levchenko@student.org,1959,2,23,IBZ-57,29.59,38(050)42-89-673
Артем,Мельник,artem.melnyk@student.org,2000,2,15,WSV-75,23.7,38(097)16-35-614
Дмитро,Литвин,dmytro.lytvyn@student.org,1951,2,26,BWV-10,78.9,38(068)74-78-432
Сергій,Коваленко,serhiy.kovalenko@student.org,1983,11,5,PWO-81,31.32,38(093)85-33-274
Євгенія,Цимбал,yevheniya.tsymbal@student.org,1992,5,2,ZYA-14,42.98,38(096)31-59-747
Марія,Захарченко,mariya.zakharchenko@student.org,1990,10,9,OFD-84,46.05,38(050)21-15-385
Вікторія,Кравченко,viktoriya.kravchenko@student.org,2001,2,28,LBO-71,1.19,38(063)54-31-817
Олександр,Михайленко,oleksandr.mykhaylenko@student.org,1984,10,4,TRY-78,80.09,38(050)95-19-860
Валентина,Костенко,valentyna.kostenko1@student.org,1990,1,27,DKW-52,14.0,38(050)95-26-309
Надія,Василенко,nadiya.vasylenko@student.org,1962,5,29,RDK-66,21.03,38(096)49-51-514
Роман,Цимбал,roman.tsymbal@student.org,2006,6,19,TGC-61,21.3,38(063)89-86-861
Наталія,Романенко,nataliya.romanenko@student.org,1983,7,17,NNG-38,9.51,38(063)53-18-867
Роман,Кравченко,roman.kravchenko@student.org,1955,12,25,EGG-91,55.6,38(073)85-96-363
Любов,Шевченко,lyubov.shevchenko@student.org,1982,2,3,VGF-50,55.26,38(063)25-20-404
Тетяна,Король,tetyana.korol@student.org,1975,1,22,EGB-60,48.32,38(099)14-69-710
Лариса,Василенко,larysa.vasylenko@student.org,2010,5,27,DUP-41,16.21,38(068)44-52-284
Тарас,Білоус,taras.bilous@student.org,1959,2,9,NAW-33,77.16,38(068)34-79-555
Марія,Омельченко,mariya.omelchenko@student.org,1968,10,10,SJL-57,83.03,38(098)67-69-910
Ганна,Цимбал,hanna.tsymbal@student.org,2001,2,3,NXE-49,31.69,38(099)73-46-476
Ганна,Гордієнко,hanna.hordiyenko@student.org,1954,10,16,UGG-87,87.65,38(093)65-73-667
Віталій,Романенко,vitaliy.romanenko@student.org,1951,10,8,XKB-28,31.52,38(095)35-81-991
Оксана,Панченко,oksana.panchenko@student.org,1964,8,15,NSK-85,14.65,38(097)66-73-870
Надія,Авраменко,nadiya.avramenko@student.org,1987,1,18,OSH-85,28.67,38(099)91-75-666
Лариса,Лисенко,larysa.lysenko@student.org,1991,8,7,OGZ-47,54.1,38(096)32-55-103
Євгенія,Омельченко,yevheniya.omelchenko@student.org,1987,11,6,RTX-70,37.12,38(066)48-75-587
Лілія,Панченко,liliya.panchenko@student.org,1997,11,21,EVP-88,87.0,38(063)42-13-233
Олександр,Бойко,oleksandr.boyko@student.org,2000,7,29,KPN-18,11.6,38(073)62-24-145
Інна,Гриценко,inna.hrytsenko@student.org,1981,8,29,YWU-86,64.34,38(096)22-69-620
Ігор,Коваленко,ihor.kovalenko@student.org,1969,4,2,BJY-31,89.74,38(097)54-68-817
Дмитро,Романенко,dmytro.romanenko@student.org,1995,10,6,KCY-24,9.82,38(095)53-96-204
Катерина,Михайленко,kateryna.mykhaylenko@student.org,1958,8,5,HLM-48,94.93,38(068)53-43-993
Богдан,Шевченко,bohdan.shevchenko@student.org,2007,12,24,NCP-23,59.48,38(095)42-96-214
Вера,Авраменко,vera.avramenko@student.org,1984,12,27,CRH-38,94.18,38(066)43-61-993
Федір,Цимбал,fedir.tsymbal@student.org,1962,7,29,ECM-82,66.69,38(095)98-25-807
Раїса,Макаренко,rayisa.makarenko@student.org,1967,4,1,TOC-81,76.83,38(066)18-93-746
Ярослав,Гордієнко,yaroslav.hordiyenko@student.org,2006,1,5,MLX-37,73.93,38(067)98-26-185
Інна,Коваль,inna.koval@student.org,1979,11,17,SUW-14,96.75,38(097)42-29-102
Анна,Лебедь,anna.lebed@student.org,1987,12,18,BSV-64,4.44,38(050)31-59-607
Ганна,Омельченко,hanna.omelchenko@student.org,1960,10,21,YXT-15,30.42,38(066)78-60-287
Юрій,Литвин,yuriy.lytvyn@student.org,2007,12,4,CGL-49,10.34,38(099)27-38-460
Раїса,Шевченко,rayisa.shevchenko@student.org,1990,3,1,QMJ-52,78.91,38(097)12-83-475
Оксана,Коваль,oksana.koval@student.org,1952,4,1,KDU-86,51.19,38(073)26-76-817
Ярослав,Демченко,yaroslav.demchenko@student.org,1995,6,29,DRS-37,98.2,38(098)10-86-942
Максим,Шевчук,maksym.shevchuk@student.org,1997,5,4,GSS-31,93.62,38(095)11-77-564
Марія,Коваленко,mariya.kovalenko@student.org,1961,7,6,CXZ-31,36.38,38(067)27-58-795
Петро,Петренко,petro.petrenko@student.org,1988,11,23,CYX-11,73.54,38(095)24-91-670
Олена,Михайленко,olena.mykhaylenko@student.org,1965,7,10,IZM-98,17.42,38(099)89-91-225
Любов,Коваленко,lyubov.kovalenko@student.org,2001,3,16,HHC-96,6.46,38(066)32-23-180
Лариса,Василенко,larysa.vasylenko1@student.org,1992,3,23,ZKH-86,77.47,38(095)11-98-865
Ірина,Шевченко,iryna.shevchenko@student.org,2000,2,16,UYV-51,78.98,38(095)52-84-275
Костянтин,Гриценко,kostyantyn.hrytsenko@student.org,1965,2,19,FQA-61,11.51,38(096)64-38-320
Станіслав,Гриценко,stanislav.hrytsenko@student.org,2001,4,7,XHB-14,68.49,38(068)97-95-560
Дмитро,Захарченко,dmytro.zakharchenko@student.org,1980,3,18,PUO-74,84.45,38(097)46-44-162
Галина,Ткаченко,halyna.tkachenko@student.org,1997,4,27,EZY-88,10.32,38(050)66-10-266
Віктор,Король,viktor.korol@student.org,1997,1,30,BDU-11,93.35,38(050)10-80-910
Лариса,Білоус,larysa.bilous@student.org,1953,1,13,ZPJ-44,51.26,38(097)33-33-952
Дмитро,Захарченко,dmytro.zakharchenko1@student.org,1959,12,28,CMO-77,38.06,38(093)92-88-694
Віктор,Павленко,viktor.pavlenko@student.org,1956,9,10,IEY-46,54.4,38(050)83-16-714
Людмила,Омельченко,lyudmyla.omelchenko@student.org,1992,3,16,MMI-15,15.72,38(067)72-55-747
Світлана,Кравченко,svitlana.kravchenko@student.org,2004,12,28,JTT-24,6.16,38(098)50-59-705
Остап,Панченко,ostap.panchenko@student.org,1969,6,8,NWJ-27,37.12,38(096)73-62-722
Любов,Гайдук,lyubov.hayduk@student.org,1985,1,4,CAA-51,75.09,38(093)44-83-993
Олександр,Король,oleksandr.korol@student.org,1997,10,2,GYI-76,74.14,38(050)96-88-216
Федір,Лебедь,fedir.lebed@student.org,2000,11,24,GPN-15,33.64,38(098)48-74-563
Сергій,Шевченко,serhiy.shevchenko@student.org,1984,11,29,XPH-46,60.9,38(063)51-35-698
Петро,Павленко,petro.pavlenko@student.org,1962,4,26,GCX-91,69.79,38(063)38-60-593
Олеся,Король,olesya.korol@student.org,1995,9,4,XES-22,61.35,38(096)59-93-817
Дмитро,Марченко,dmytro.marchenko@student.org,1951,8,25,ZNW-40,22.81,38(073)47-74-162
Валентина,Гайдук,valentyna.hayduk@student.org,1985,4,24,HEG-68,41.69,38(066)85-20-932
Максим,Лисенко,maksym.lysenko1@student.org,1997,5,6,YCX-14,97.24,38(063)63-83-221
Юрій,Авраменко,yuriy.avramenko@student.org,1976,1,21,ZGH-40,0.43,38(099)32-74-480
Лариса,Коваль,larysa.koval@student.org,1990,9,13,UHB-87,38.2,38(097)31-34-376
Надія,Литвин,nadiya.lytvyn@student.org,1953,7,12,FVW-14,64.74,38(099)26-19-432
Тарас,Шаповал,taras.shapoval@student.org,2001,6,17,JKA-80,6.19,38(068)47-98-624
Марія,Іваненко,mariya.ivanenko@student.org,2008,9,9,XPL-24,29.15,38(050)93-48-895
Володимир,Лисенко,volodymyr.lysenko@student.org,1985,11,12,GTU-63,13.84,38(063)55-16-550
Максим,Ковальчук,maksym.kovalchuk@student.org,1970,1,2,IBD-78,85.83,38(050)73-55-291
Раїса,Кравченко,rayisa.kravchenko@student.org,1995,12,7,UGG-87,63.35,38(068)58-18-791
Людмила,Романенко,lyudmyla.romanenko@student.org,1996,3,20,KIR-57,4.86,38(098)46-65-183
Станіслав,Ковальчук,stanislav.kovalchuk@student.org,1971,4,11,RUA-99,31.57,38(066)50-83-622
Віталій,Панченко,vitaliy.panchenko@student.org,2004,9,25,HPC-77,32.87,38(093)63-42-281
Анна,Захарченко,anna.zakharchenko@student.org,1967,7,14,EDJ-33,1.27,38(096)60-74-942
Лариса,Козлов,larysa.kozlov@student.org,1996,10,1,GTS-75,46.87,38(063)39-20-349
Анна,Скрипка,anna.skrypka@student.org,1966,9,20,YXS-87,18.54,38(068)71-88-440
Людмила,Павленко,lyudmyla.pavlenko@student.org,1957,4,30,QML-41,4.16,38(093)95-20-929
Олеся,Мельник,olesya.melnyk@student.org,1957,8,16,KGY-95,84.25,38(066)69-21-537
Катерина,Руденко,kateryna.rudenko@student.org,2002,7,16,ENS-86,81.71,38(073)17-23-249
Максим,Макаренко,maksym.makarenko@student.org,1990,4,24,HNV-49,9.1,38(098)69-31-259
Лілія,Захарченко,liliya.zakharchenko@student.org,2007,2,19,IEY-46,56.31,38(073)20-16-414
Артем,Панченко,artem.panchenko@student.org,2003,3,9,BOY-38,37.34,38(093)67-82-467
Артем,Костенко,artem.kostenko@student.org,2000,12,12,YLO-95,27.33,38(067)83-29-601
Олександр,Петренко,oleksandr.petrenko@student.org,1963,9,29,EUU-86,28.33,38(096)91-37-576
Станіслав,Василенко,stanislav.vasylenko@student.org,1976,11,21,OSV-93,17.16,38(063)12-21-707
Марія,Король,mariya.korol@student.org,1992,1,3,BKY-24,2.92,38(068)48-52-559
Лариса,Білоус,larysa.bilous1@student.org,1992,2,10,BHV-58,30.78,38(073)35-27-622
Вера,Козлов,vera.kozlov@student.org,1963,9,11,JMA-58,53.58,38(068)59-60-537
Костянтин,Петренко,kostyantyn.petrenko@student.org,1952,12,13,QYI-41,8.04,38(073)35-65-261
Надія,Панченко,nadiya.panchenko@student.org,1996,2,13,SII-42,0.72,38(099)56-87-351
Любов,Новік,lyubov.novik@student.org,1977,1,28,KIR-57,76.18,38(093)16-17-239
Наталія,Ткаченко,nataliya.tkachenko@student.org,1990,11,23,YRC-12,66.24,38(093)62-94-530
Вера,Романенко,vera.romanenko@student.org,1992,10,31,WWU-13,90.63,38(093)20-92-745
Анна,Демченко,anna.demchenko@student.org,1974,6,25,ING-26,82.28,38(095)49-28-481
Андрій,Лисенко,andriy.lysenko@student.org,1998,9,25,VIB-80,71.78,38(066)71-50-900
Михайло,Шевчук,mykhaylo.shevchuk@student.org,1996,6,7,TLU-87,25.2,38(068)76-20-147
Дмитро,Романенко,dmytro.romanenko1@student.org,1976,4,30,XLO-76,84.69,38(066)94-31-577
Олеся,Коваль,olesya.koval@student.org,2002,3,23,RSM-38,82.95,38(050)75-66-376
Валентина,Савченко,valentyna.savchenko@student.org,1965,6,30,UVC-75,57.2,38(050)83-98-761
Людмила,Зайцев,lyudmyla.zaytsev@student.org,1959,12,27,PAI-55,89.56,38(093)61-64-574
Сергій,Романенко,serhiy.romanenko@student.org,1967,11,2,MFJ-28,28.48,38(098)29-78-656
Надія,Гриценко,nadiya.hrytsenko@student.org,1986,9,19,LQU-46,15.26,38(095)46-52-460
Костянтин,Левченко,kostyantyn.levchenko@student.org,1976,9,1,QQY-15,63.65,38(099)49-26-758
Вера,Коваль,vera.koval@student.org,1970,9,8,YZE-36,6.26,38(066)89-60-207
Віктор,Козлов,viktor.kozlov@student.org,1994,6,27,YFT-65,30.8,38(099)29-65-616
Роман,Павленко,roman.pavlenko@student.org,1953,12,29,XSL-92,37.56,38(067)99-59-823
Віктор,Рибак,viktor.rybak@student.org,1979,5,4,PZX-54,89.71,38(073)50-14-610
Денис,Мельник,denys.melnyk@student.org,2007,9,26,NNG-38,31.01,38(063)23-26-535
Лілія,Лисенко,liliya.lysenko@student.org,1997,6,1,OAJ-53,39.54,38(095)16-94-118
Павло,Дорошенко,pavlo.doroshenko@student.org,1957,10,26,GDS-92,49.73,38(099)91-11-114
Валентина,Мельник,valentyna.melnyk@student.org,1984,12,3,MAD-27,83.13,38(093)12-25-568
Сергій,Скрипка,serhiy.skrypka@student.org,1987,6,27,RQV-53,62.69,38(093)74-38-105
Павло,Зайцев,pavlo.zaytsev@student.org,1959,9,8,OIR-30,76.24,38(066)34-27-530
Наталія,Савченко,nataliya.savchenko@student.org,1990,1,1,MVS-14,12.19,38(067)64-59-695
Вікторія,Романенко,viktoriya.romanenko@student.org,1964,1,19,OYY-63,18.2,38(098)45-33-828
Василь,Лебедь,vasyl.lebed@student.org,1971,5,16,WQW-96,9.58,38(098)15-42-117
Євгенія,Дорошенко,yevheniya.doroshenko@student.org,1976,4,29,HDZ-60,66.56,38(096)59-33-550
Євгенія,Марченко,yevheniya.marchenko@student.org,1952,9,11,LUE-73,44.22,38(097)76-73-399
Юлія,Панченко,yuliya.panchenko@student.org,1952,6,18,HXP-30,28.41,38(066)39-63-901
Інна,Козлов,inna.kozlov@student.org,1962,3,17,WCT-29,1.25,38(093)41-17-954
Григорій,Кузьменко,hryhoriy.kuzmenko@student.org,1953,2,25,TMQ-57,76.86,38(050)69-87-346
Валентина,Гончаренко,valentyna.honcharenko@student.org,1963,9,11,WEL-33,34.52,38(098)79-29-976
Ігор,Романенко,ihor.romanenko@student.org,2009,4,25,VQU-12,12.41,38(098)30-28-206
Тарас,Цимбал,taras.tsymbal@student.org,2001,10,15,DTP-85,35.2,38(095)88-42-238
Віктор,Левченко,viktor.levchenko@student.org,1960,6,27,EKF-82,96.11,38(098)56-17-321
Інна,Левченко,inna.levchenko@student.org,1975,10,17,LEG-28,61.87,38(097)89-21-936
Віктор,Макаренко,viktor.makarenko@student.org,1972,10,3,NAW-33,48.96,38(068)52-45-478
Алла,Петренко,alla.petrenko@student.org,1989,11,17,DHI-18,0.0,38(066)76-74-873
Юрій,Шаповал,yuriy.shapoval@student.org,1972,9,17,XML-10,24.06,38(093)66-33-373
Василь,Лебедь,vasyl.lebed1@student.org,1988,6,22,BTW-65,83.15,38(068)29-35-700
Юрій,Гончаренко,yuriy.honcharenko@student.org,1965,2,8,RRB-11,8.9,38(099)29-58-840
Людмила,Іваненко,lyudmyla.ivanenko@student.org,1967,4,27,QEU-60,47.34,38(063)97-88-358
Раїса,Романенко,rayisa.romanenko1@student.org,1971,5,8,IAD-16,7.28,38(095)32-12-407
Валентина,Лебедь,valentyna.lebed@student.org,1977,4,16,RAD-85,9.65,38(095)82-41-192
Максим,Ткаченко,maksym.tkachenko@student.org,1954,2,20,FCY-37,92.31,38(067)14-25-549
Павло,Авраменко,pavlo.avramenko@student.org,1982,7,11,EHN-27,36.03,38(099)12-97-212
Алла,Гордієнко,alla.hordiyenko@student.org,2009,10,5,UIH-37,5.34,38(063)10-43-512
Олександр,Гладко,oleksandr.hladko@student.org,1979,4,1,OMJ-33,55.35,38(096)51-21-772
Оксана,Панченко,oksana.panchenko1@student.org,1962,2,7,YHS-66,39.06,38(067)72-19-139
